Total female entries: 96,320

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------
 229           WILLIAM     30 +- 10.7    0.03%  84.63%
 230           MARYANN     30 +- 10.7    0.03%  84.66%
 231        MARGARETTA     29 +- 10.5    0.03%  84.69%
 232         CLARRISSA     29 +- 10.5    0.03%  84.72%
 233           ISABELL     29 +- 10.5    0.03%  84.75%
 234             LUCIA     29 +- 10.5    0.03%  84.78%
 235           MARINDA     28 +- 10.3    0.03%  84.81%
 236            ROSINA     28 +- 10.3    0.03%  84.84%
 237         GEORGIANA     28 +- 10.3    0.03%  84.87%
 238          MARGRETT     27 +- 10.1    0.03%  84.90%
 239        MARGARETTE     27 +- 10.1    0.03%  84.93%
 240           BELINDA     27 +- 10.1    0.03%  84.95%
 241          NARCISSA     27 +- 10.1    0.03%  84.98%
 242             KITTY     26 +- 9.9     0.03%  85.01%
 243         CHRISTINE     26 +- 9.9     0.03%  85.04%
 244          PENELOPE     26 +- 9.9     0.03%  85.06%
 245             HENRY     25 +- 9.7     0.03%  85.09%
 246             HULDA     25 +- 9.7     0.03%  85.11%
 247            LOUIZA     25 +- 9.7     0.03%  85.14%
 248            ROXANA     25 +- 9.7     0.03%  85.17%
 249            EASTER     25 +- 9.7     0.03%  85.19%
 250        CLEMENTINE     25 +- 9.7     0.03%  85.22%
 251          ROSANNAH     25 +- 9.7     0.03%  85.24%
 252             PATSY     25 +- 9.7     0.03%  85.27%
 253            GEORGE     25 +- 9.7     0.03%  85.30%
 254            LUCINA     24 +- 9.6     0.02%  85.32%
 255         ELIZABITH     24 +- 9.6     0.02%  85.35%
 256              M.RS     24 +- 9.6     0.02%  85.37%
 257         MAGDALENE     24 +- 9.6     0.02%  85.40%
 258              RODA     24 +- 9.6     0.02%  85.42%
 259            LOUISE     24 +- 9.6     0.02%  85.45%
 260           ELLENOR     24 +- 9.6     0.02%  85.47%
 261        GEORGIANNA     23 +- 9.4     0.02%  85.49%
 262           CECELIA     23 +- 9.4     0.02%  85.52%
 263               ADA     23 +- 9.4     0.02%  85.54%
 264          PARMELIA     23 +- 9.4     0.02%  85.57%
 265          SOPHRONA     23 +- 9.4     0.02%  85.59%
 266             PATTY     23 +- 9.4     0.02%  85.61%
 267           LORINDA     23 +- 9.4     0.02%  85.64%
 268           FIDELIA     22 +- 9.1     0.02%  85.66%
 269           PAULINE     22 +- 9.1     0.02%  85.68%
 270              ALMA     22 +- 9.1     0.02%  85.71%
 271          BRIDGETT     22 +- 9.1     0.02%  85.73%
 272          ANGELINA     22 +- 9.1     0.02%  85.75%
 273              LENA     22 +- 9.1     0.02%  85.77%
 274              ABBA     22 +- 9.1     0.02%  85.80%
 275         ELISEBETH     21 +- 8.9     0.02%  85.82%
 276             JOANA     21 +- 8.9     0.02%  85.84%
 277            KEZIAH     21 +- 8.9     0.02%  85.86%
 278           MARANDA     21 +- 8.9     0.02%  85.88%
 279           ROXANNA     21 +- 8.9     0.02%  85.91%
 280            ELVINA     21 +- 8.9     0.02%  85.93%
 281            INFANT     21 +- 8.9     0.02%  85.95%
 282          JULIETTE     21 +- 8.9     0.02%  85.97%
 283              SARA     21 +- 8.9     0.02%  85.99%
 284             IRENA     21 +- 8.9     0.02%  86.02%
 285              JUNE     21 +- 8.9     0.02%  86.04%
 286             LIDIA     21 +- 8.9     0.02%  86.06%
 287         MEHITABLE     20 +- 8.7     0.02%  86.08%
 288             NELLY     20 +- 8.7     0.02%  86.10%
 289           WEALTHY     20 +- 8.7     0.02%  86.12%
 290            SIDNEY     20 +- 8.7     0.02%  86.14%
 291        WILHELMINA     20 +- 8.7     0.02%  86.16%
 292                 T     20 +- 8.7     0.02%  86.18%
 293            PATSEY     20 +- 8.7     0.02%  86.20%
 294             BETTY     20 +- 8.7     0.02%  86.23%
 295             ORPHA     20 +- 8.7     0.02%  86.25%
 296            SELINA     20 +- 8.7     0.02%  86.27%
 297          PARTHENA     20 +- 8.7     0.02%  86.29%
 298          CAROLINA     20 +- 8.7     0.02%  86.31%
 299            BERTHA     19 +- 8.5     0.02%  86.33%
 300           INDIANA     19 +- 8.5     0.02%  86.35%
 301            CINTHA     19 +- 8.5     0.02%  86.37%
 302            ALMEDA     19 +- 8.5     0.02%  86.39%
 303          ELZABETH     19 +- 8.5     0.02%  86.41%
 304           JULIANA     19 +- 8.5     0.02%  86.43%
 305           ANNETTE     19 +- 8.5     0.02%  86.45%
 306          CELESTIA     18 +- 8.3     0.02%  86.46%
 307              MARG     18 +- 8.3     0.02%  86.48%
 308          MARGERET     18 +- 8.3     0.02%  86.50%
 309                 B     18 +- 8.3     0.02%  86.52%
 310           ANNETTA     18 +- 8.3     0.02%  86.54%
 311            MILLEY     18 +- 8.3     0.02%  86.56%
 312             HANNA     18 +- 8.3     0.02%  86.58%
 313           JANETTE     18 +- 8.3     0.02%  86.60%
 314            ELIZTH     18 +- 8.3     0.02%  86.61%
 315          ARABELLA     18 +- 8.3     0.02%  86.63%
 316            ELANOR     18 +- 8.3     0.02%  86.65%
 317            JULIET     18 +- 8.3     0.02%  86.67%
 318             ANNIS     18 +- 8.3     0.02%  86.69%
 319            SALLIE     18 +- 8.3     0.02%  86.71%
 320            MIRIAM     18 +- 8.3     0.02%  86.73%
 321          DRUSILLA     17 +- 8.0     0.02%  86.74%
 322             DINAH     17 +- 8.0     0.02%  86.76%
 323                 W     17 +- 8.0     0.02%  86.78%
 324             ABBEY     17 +- 8.0     0.02%  86.80%
 325            TERESA     17 +- 8.0     0.02%  86.81%
 326                 !     17 +- 8.0     0.02%  86.83%
 327            ZILPHA     17 +- 8.0     0.02%  86.85%
 328          PRICILLA     17 +- 8.0     0.02%  86.87%
 329         JOSEPHENE     17 +- 8.0     0.02%  86.89%
 330             MARTH     16 +- 7.8     0.02%  86.90%
 331           CALISTA     16 +- 7.8     0.02%  86.92%
 332           JENNETT     16 +- 7.8     0.02%  86.94%
 333         ISSABELLA     16 +- 7.8     0.02%  86.95%
 334          DRUCILLA     16 +- 7.8     0.02%  86.97%
 335             MAREY     16 +- 7.8     0.02%  86.99%
 336           PHILENA     16 +- 7.8     0.02%  87.00%
 337             LOUIS     16 +- 7.8     0.02%  87.02%
 338          THANKFUL     16 +- 7.8     0.02%  87.03%
 339           CHARLES     16 +- 7.8     0.02%  87.05%
 340            SERENA     16 +- 7.8     0.02%  87.07%
 341             LOISA     16 +- 7.8     0.02%  87.08%
 342              JUDY     16 +- 7.8     0.02%  87.10%
 343           AURELIA     16 +- 7.8     0.02%  87.12%
 344             RHODY     16 +- 7.8     0.02%  87.13%
 345           ASENATH     16 +- 7.8     0.02%  87.15%
 346            MARCIA     16 +- 7.8     0.02%  87.17%
 347              EDNA     15 +- 7.6     0.02%  87.18%
 348           CATHRIN     15 +- 7.6     0.02%  87.20%
 349           EUGENIA     15 +- 7.6     0.02%  87.21%
 350            HONORA     15 +- 7.6     0.02%  87.23%
 351           MARGART     15 +- 7.6     0.02%  87.25%
 352         JOSAPHINE     15 +- 7.6     0.02%  87.26%
 353            JENETT     15 +- 7.6     0.02%  87.28%
 354            PAMELA     15 +- 7.6     0.02%  87.29%
 355            URSULA     15 +- 7.6     0.02%  87.31%
 356             PHEBY     15 +- 7.6     0.02%  87.32%
 357           LORETTA     15 +- 7.6     0.02%  87.34%
 358             MILLA     15 +- 7.6     0.02%  87.35%
 359           RACHEAL     15 +- 7.6     0.02%  87.37%
 360           EVELINA     15 +- 7.6     0.02%  87.39%
 361           GEORGIA     15 +- 7.6     0.02%  87.40%
 362            RACHAL     15 +- 7.6     0.02%  87.42%
 363              LANA     15 +- 7.6     0.02%  87.43%
 364             WIDOW     15 +- 7.6     0.02%  87.45%
 365         CATHARINA     15 +- 7.6     0.02%  87.46%
 366            MARTHY     15 +- 7.6     0.02%  87.48%
 367            ELMINA     14 +- 7.3     0.01%  87.49%
 368            SARRAH     14 +- 7.3     0.01%  87.51%
 369           OCTAVIA     14 +- 7.3     0.01%  87.52%
 370             ALIDA     14 +- 7.3     0.01%  87.54%
 371            ELIZ.H     14 +- 7.3     0.01%  87.55%
 372           LEONORA     14 +- 7.3     0.01%  87.57%
 373              JUDA     14 +- 7.3     0.01%  87.58%
 374           CECILIA     14 +- 7.3     0.01%  87.60%
 375       CHRISTIANNA     14 +- 7.3     0.01%  87.61%
 376          ADALAIDE     14 +- 7.3     0.01%  87.62%
 377                 D     14 +- 7.3     0.01%  87.64%
 378           JULIETT     14 +- 7.3     0.01%  87.65%
 379              JOAN     14 +- 7.3     0.01%  87.67%
 380          JENNETTE     14 +- 7.3     0.01%  87.68%
 381           ELENORA     13 +- 7.0     0.01%  87.70%
 382           ROSELLA     13 +- 7.0     0.01%  87.71%
 383            SABINA     13 +- 7.0     0.01%  87.72%
 384           ROSALIA     13 +- 7.0     0.01%  87.74%
 385           SABRINA     13 +- 7.0     0.01%  87.75%
 386           CELINDA     13 +- 7.0     0.01%  87.76%
 387            JOSEPH     13 +- 7.0     0.01%  87.78%
 388           COMFORT     13 +- 7.0     0.01%  87.79%
 389             MANDA     13 +- 7.0     0.01%  87.80%
 390             RUTHA     13 +- 7.0     0.01%  87.82%
 391           DORATHY     13 +- 7.0     0.01%  87.83%
 392             SYBIL     13 +- 7.0     0.01%  87.84%
 393         MAGDALINE     13 +- 7.0     0.01%  87.86%
 394             MOLLY     13 +- 7.0     0.01%  87.87%
 395         HENRIETTE     13 +- 7.0     0.01%  87.89%
 396             SABRA     13 +- 7.0     0.01%  87.90%
 397            SALLEY     12 +- 6.8     0.01%  87.91%
 398              MYRA     12 +- 6.8     0.01%  87.92%
 399             ELLIN     12 +- 6.8     0.01%  87.94%
 400            LENORA     12 +- 6.8     0.01%  87.95%
 401           MARILLA     12 +- 6.8     0.01%  87.96%
 402             JUANA     12 +- 6.8     0.01%  87.97%
 403            HELENA     12 +- 6.8     0.01%  87.99%
 404           CINTHIA     12 +- 6.8     0.01%  88.00%
 405           JENETTE     12 +- 6.8     0.01%  88.01%
 406               W.M     12 +- 6.8     0.01%  88.02%
 407            SYNTHA     12 +- 6.8     0.01%  88.04%
 408         HARRIETTE     12 +- 6.8     0.01%  88.05%
 409              RUBY     12 +- 6.8     0.01%  88.06%
 410           ROSANAH     12 +- 6.8     0.01%  88.07%
 411            EUGENE     12 +- 6.8     0.01%  88.09%
 412                 G     12 +- 6.8     0.01%  88.10%
 413             ELIZH     12 +- 6.8     0.01%  88.11%
 414            CATH.E     12 +- 6.8     0.01%  88.12%
 415          ISABELLE     12 +- 6.8     0.01%  88.14%
 416           RICHARD     11 +- 6.5     0.01%  88.15%
 417             MARRY     11 +- 6.5     0.01%  88.16%
 418         FREDERICA     11 +- 6.5     0.01%  88.17%
 419           ARVILLA     11 +- 6.5     0.01%  88.18%
 420            DESIRE     11 +- 6.5     0.01%  88.19%
 421             ARENA     11 +- 6.5     0.01%  88.20%
 422          CLARRISA     11 +- 6.5     0.01%  88.22%
 423           TOBITHA     11 +- 6.5     0.01%  88.23%
 424          DELPHINE     11 +- 6.5     0.01%  88.24%
 425              ELSA     11 +- 6.5     0.01%  88.25%
 426        ANTOINETTE     11 +- 6.5     0.01%  88.26%
 427            BEULAH     11 +- 6.5     0.01%  88.27%
 428           HARRIOT     11 +- 6.5     0.01%  88.28%
 429          ELLENDER     11 +- 6.5     0.01%  88.30%
 430          MARYETTE     11 +- 6.5     0.01%  88.31%
 431          PERCILLA     11 +- 6.5     0.01%  88.32%
 432             PHEBA     11 +- 6.5     0.01%  88.33%
 433            WINNEY     11 +- 6.5     0.01%  88.34%
 434           VIRGINA     11 +- 6.5     0.01%  88.35%
 435            KESIAH     11 +- 6.5     0.01%  88.36%
 436              NORA     11 +- 6.5     0.01%  88.38%
 437             DAVID     11 +- 6.5     0.01%  88.39%
 438          EUPHEMIA     11 +- 6.5     0.01%  88.40%
 439           BRIDGES     11 +- 6.5     0.01%  88.41%
 440          MARCELLA     11 +- 6.5     0.01%  88.42%
 441             SYLVA     11 +- 6.5     0.01%  88.43%
 442            BARBRA     11 +- 6.5     0.01%  88.44%
 443              JULY     11 +- 6.5     0.01%  88.46%
 444           OPHELIA     10 +- 6.2     0.01%  88.47%
 445           ARMINDA     10 +- 6.2     0.01%  88.48%
 446           ISADORE     10 +- 6.2     0.01%  88.49%
 447             HETTA     10 +- 6.2     0.01%  88.50%
 448                MA     10 +- 6.2     0.01%  88.51%
 449           SYNTHIA     10 +- 6.2     0.01%  88.52%
 450            MARINA     10 +- 6.2     0.01%  88.53%
 451            SAMUEL     10 +- 6.2     0.01%  88.54%
 452                SA     10 +- 6.2     0.01%  88.55%
 453             JONES     10 +- 6.2     0.01%  88.56%
 454             JANIE     10 +- 6.2     0.01%  88.57%
 455              DICY     10 +- 6.2     0.01%  88.58%
 456             NAOMA     10 +- 6.2     0.01%  88.59%
 457          PRECILLA     10 +- 6.2     0.01%  88.60%
 458            THOMAS     10 +- 6.2     0.01%  88.61%
 459            BETHIA     10 +- 6.2     0.01%  88.62%
 460           DIANTHA     10 +- 6.2     0.01%  88.63%
 461            CELINA     10 +- 6.2     0.01%  88.64%
 462         MAHITABLE     10 +- 6.2     0.01%  88.65%
 463              MINA     10 +- 6.2     0.01%  88.66%
 464          MAGDALEN     10 +- 6.2     0.01%  88.67%
 465         SAPHRONIA     10 +- 6.2     0.01%  88.68%
 466           EUGENIE     10 +- 6.2     0.01%  88.69%
 467           CAROLIN     10 +- 6.2     0.01%  88.70%
 468          ANGALINE     10 +- 6.2     0.01%  88.71%
 469             JANET     10 +- 6.2     0.01%  88.73%
 470         CASSANDRA     10 +- 6.2     0.01%  88.74%
 471              MIRA     10 +- 6.2     0.01%  88.75%
 472                MJ     10 +- 6.2     0.01%  88.76%
 473           REBECKA     10 +- 6.2     0.01%  88.77%
 474              ELIS     10 +- 6.2     0.01%  88.78%
 475           LUCETTA     10 +- 6.2     0.01%  88.79%
 476             VIOLA     10 +- 6.2     0.01%  88.80%
 477           ELENDER     10 +- 6.2     0.01%  88.81%
 478           M{ARI}A     10 +- 6.2     0.01%  88.82%
 479             ELSEY     10 +- 6.2     0.01%  88.83%
 480             MARCY     10 +- 6.2     0.01%  88.84%
 481               EVA     10 +- 6.2     0.01%  88.85%
 482             UNITY      9 +- 5.9     0.01%  88.86%
 483            ROBERT      9 +- 5.9     0.01%  88.87%
 484            ALVINA      9 +- 5.9     0.01%  88.88%
 485             ALTHA      9 +- 5.9     0.01%  88.89%
 486         TENNESSEE      9 +- 5.9     0.01%  88.90%
 487             LUISA      9 +- 5.9     0.01%  88.91%
 488            MARGET      9 +- 5.9     0.01%  88.92%
